case,category,subcategory,electricity,savings
baseline,Cooling,General,36.9964084078886,0
baseline,Interior Lighting,General_Lights,28.9606235790459,0
baseline,Interior Lighting,Parking_Lights,3.96131853615311,0
baseline,Exterior Lighting,ExteriorLights,2.13386705815077,0
baseline,Interior Equipment,MiscPlug,31.1591321523544,0
baseline,Fans,Ventilation (simple),0.842923307239529,0
baseline,Fans,AHU,12.1530443449021,0
baseline,Fans,Toilet_Exhaust_Fan,1.04683649558425,0
baseline,Pumps,General,7.64602397560003,0
baseline,Heat Rejection,General,3.62479585109767,0
baseline,Heat Recovery,General,0,
2020s,Cooling,General,17.3995990761356,0.529694912968212
2020s,Interior Lighting,General_Lights,5.23119466656135,0.819368714479397
2020s,Interior Lighting,Parking_Lights,3.96131853615311,0
2020s,Exterior Lighting,ExteriorLights,2.13386705815077,0
2020s,Interior Equipment,MiscPlug,22.7967052982706,0.268378041249519
2020s,Interior Equipment,Personal Fans,0.450302373568437,0
2020s,Fans,Ventilation (simple),0.842923307239529,0
2020s,Fans,AHU,7.25748623005938,0.402825660460647
2020s,Fans,Toilet_Exhaust_Fan,1.04683649558425,0
2020s,Pumps,General,6.9421257032029,0.0920606938512637
2020s,Heat Rejection,General,1.69764323826483,0.531658248353285
2020s,Heat Recovery,General,0,
2030s,Cooling,General,14.9701046595319,0.595363298661717
2030s,Interior Lighting,General_Lights,5.23119466656135,0.819368714479397
2030s,Interior Lighting,Parking_Lights,3.96131853615311,0
2030s,Exterior Lighting,ExteriorLights,2.13386705815077,0
2030s,Interior Equipment,MiscPlug,22.7967052982706,0.268378041249519
2030s,Interior Equipment,Personal Fans,0.450302373568437,0
2030s,Fans,Ventilation (simple),0.842923307239529,0
2030s,Fans,AHU,6.12349984432793,0.496134493502725
2030s,Fans,Toilet_Exhaust_Fan,1.04683649558425,0
2030s,Pumps,General,6.43196374122218,0.158783210496352
2030s,Heat Rejection,General,1.48740106630118,0.589659355339761
2030s,Heat Recovery,General,0,
