case,category,subcategory,electricity,savings
baseline,Cooling,General,36.25,0
baseline,Interior Lighting,General_Lights,28.96,0
baseline,Interior Lighting,Parking_Lights,3.96,0
baseline,Exterior Lighting,ExteriorLights,2.13,0
baseline,Interior Equipment,MiscPlug,31.16,0
baseline,Fans,Ventilation (simple),0.84,0
baseline,Fans,AHU,13.23,0
baseline,Fans,Toilet_Exhaust_Fan,1.05,0
baseline,Pumps,General,7.56,0
baseline,Heat Rejection,General,3.61,0
baseline,Heat Recovery,General,0,
fans,Cooling,General,25.65,0.292
fans,Interior Lighting,General_Lights,28.96,0
fans,Interior Lighting,Parking_Lights,3.96,0
fans,Exterior Lighting,ExteriorLights,2.13,0
fans,Interior Equipment,MiscPlug,31.16,0
fans,Interior Equipment,Personal Fans,1.08,0
fans,Fans,Ventilation (simple),0.84,0
fans,Fans,AHU,10.21,0.228
fans,Fans,Toilet_Exhaust_Fan,1.05,0
fans,Pumps,General,6.78,0.103
fans,Heat Rejection,General,3.3,0.086
fans,Heat Recovery,General,0,
radiant_natvent_28C,Cooling,General,15.12,0.583
radiant_natvent_28C,Interior Lighting,General_Lights,28.96,0
radiant_natvent_28C,Interior Lighting,Parking_Lights,3.96,0
radiant_natvent_28C,Exterior Lighting,ExteriorLights,2.13,0
radiant_natvent_28C,Interior Equipment,MiscPlug,31.16,0
radiant_natvent_28C,Interior Equipment,Personal Fans,1.08,0
radiant_natvent_28C,Fans,Ventilation (simple),0.84,0
radiant_natvent_28C,Fans,AHU,0,1
radiant_natvent_28C,Fans,Toilet_Exhaust_Fan,1.05,0
radiant_natvent_28C,Pumps,General,0,1
radiant_natvent_28C,Pumps,Radiant,3.48,0
radiant_natvent_28C,Heat Rejection,General,0,1
radiant_natvent_28C,Heat Recovery,General,0,
radiant_natvent_28C_tapwater,Cooling,General,0,1
radiant_natvent_28C_tapwater,Interior Lighting,General_Lights,28.96,0
radiant_natvent_28C_tapwater,Interior Lighting,Parking_Lights,3.96,0
radiant_natvent_28C_tapwater,Exterior Lighting,ExteriorLights,2.13,0
radiant_natvent_28C_tapwater,Interior Equipment,MiscPlug,31.16,0
radiant_natvent_28C_tapwater,Interior Equipment,Personal Fans,1.08,0
radiant_natvent_28C_tapwater,Fans,Ventilation (simple),0.84,0
radiant_natvent_28C_tapwater,Fans,AHU,0,1
radiant_natvent_28C_tapwater,Fans,Toilet_Exhaust_Fan,1.05,0
radiant_natvent_28C_tapwater,Pumps,General,0,1
radiant_natvent_28C_tapwater,Pumps,Radiant,3.48,0
radiant_natvent_28C_tapwater,Heat Rejection,General,0,1
radiant_natvent_28C_tapwater,Heat Recovery,General,0,
radiant_natvent_vav_28C,Cooling,General,19.55,0.461
radiant_natvent_vav_28C,Interior Lighting,General_Lights,28.96,0
radiant_natvent_vav_28C,Interior Lighting,Parking_Lights,3.96,0
radiant_natvent_vav_28C,Exterior Lighting,ExteriorLights,2.13,0
radiant_natvent_vav_28C,Interior Equipment,MiscPlug,31.16,0
radiant_natvent_vav_28C,Interior Equipment,Personal Fans,1.08,0
radiant_natvent_vav_28C,Fans,Ventilation (simple),0.84,0
radiant_natvent_vav_28C,Fans,AHU,13.71,-0.036
radiant_natvent_vav_28C,Fans,Toilet_Exhaust_Fan,1.05,0
radiant_natvent_vav_28C,Pumps,General,0.57,0.925
radiant_natvent_vav_28C,Pumps,Radiant,3.49,-0.003
radiant_natvent_vav_28C,Heat Rejection,General,0.18,0.95
radiant_natvent_vav_28C,Heat Recovery,General,0,
radiant_natvent_vav_28C_tapwater,Cooling,General,3.92,0.892
