case,category,electricity,savings
baseline,Lighting,35.06,0
baseline,HVAC,62.54,0
baseline,Other,45.3,0
baseline,Total,142.89,0
fans,Lighting,35.06,0
fans,HVAC,47.84,0.235
fans,Other,46.38,-0.024
fans,Total,129.28,0.095
radiant_28C_chiller_nonv,Lighting,35.06,0
radiant_28C_chiller_nonv,HVAC,26.2,0.581
radiant_28C_chiller_nonv,Other,46.38,-0.024
radiant_28C_chiller_nonv,Total,107.64,0.247
radiant_28C_chiller_nv,Lighting,35.06,0
radiant_28C_chiller_nv,HVAC,24.43,0.609
radiant_28C_chiller_nv,Other,46.38,-0.024
radiant_28C_chiller_nv,Total,105.87,0.259
radiant_28C_chiller_doas,Lighting,35.06,0
radiant_28C_chiller_doas,HVAC,32.1,0.487
radiant_28C_chiller_doas,Other,46.38,-0.024
radiant_28C_chiller_doas,Total,113.54,0.205
radiant_28C_tower_nonv,Lighting,35.06,0
radiant_28C_tower_nonv,HVAC,6.6,0.894
radiant_28C_tower_nonv,Other,46.38,-0.024
radiant_28C_tower_nonv,Total,88.04,0.384
radiant_28C_tower_nv,Lighting,35.06,0
radiant_28C_tower_nv,HVAC,6.36,0.898
radiant_28C_tower_nv,Other,46.38,-0.024
radiant_28C_tower_nv,Total,87.79,0.386
radiant_28C_tower_doas,Lighting,35.06,0
radiant_28C_tower_doas,HVAC,12.04,0.807
radiant_28C_tower_doas,Other,46.38,-0.024
radiant_28C_tower_doas,Total,93.48,0.346
